time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-17 00:00:00+00:00,3.0,3.0,19,6
2025-11-18 00:00:00+00:00,,,5,3
2025-11-19 00:00:00+00:00,,,5,4
2025-11-20 00:00:00+00:00,,,5,3
2025-11-21 00:00:00+00:00,5.0,3.0,10,4
2025-11-22 00:00:00+00:00,,,3,3
2025-11-23 00:00:00+00:00,,,2,2
2025-11-24 00:00:00+00:00,,,57,4
2025-11-25 00:00:00+00:00,3.0,3.0,21,3
2025-11-26 00:00:00+00:00,2.0,2.0,72,3
2025-11-27 00:00:00+00:00,5.0,3.0,4,3
2025-11-28 00:00:00+00:00,18.0,9.0,24,2
2025-11-29 00:00:00+00:00,,,1,1
