time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,4.0,3.0,9,3
2025-11-22 00:00:00+00:00,,,3,3
2025-11-23 00:00:00+00:00,,,2,2
2025-11-24 00:00:00+00:00,,,57,4
2025-11-25 00:00:00+00:00,3.0,3.0,21,3
2025-11-26 00:00:00+00:00,2.0,2.0,72,3
2025-11-27 00:00:00+00:00,5.0,3.0,4,3
2025-11-28 00:00:00+00:00,18.0,9.0,24,2
2025-11-29 00:00:00+00:00,,,1,1
2025-12-01 00:00:00+00:00,7.0,4.0,47,5
2025-12-02 00:00:00+00:00,10.0,5.0,21,5
2025-12-03 00:00:00+00:00,181.0,6.0,27,8
2025-12-04 00:00:00+00:00,,,18,2
