time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-02 00:00:00+00:00,,,2,2
2025-08-03 00:00:00+00:00,3.0,2.0,26,5
2025-08-04 00:00:00+00:00,13.0,5.0,3,2
2025-08-05 00:00:00+00:00,26.0,5.0,2,1
2025-08-06 00:00:00+00:00,2.0,2.0,35,6
2025-08-07 00:00:00+00:00,18.0,6.0,15,2
2025-08-08 00:00:00+00:00,17.0,8.0,15,4
2025-08-09 00:00:00+00:00,2.0,1.0,14,3
2025-08-10 00:00:00+00:00,,,1,1
2025-08-11 00:00:00+00:00,,,8,2
2025-08-12 00:00:00+00:00,28.0,7.0,22,4
2025-08-13 00:00:00+00:00,10.0,2.0,10,6
2025-08-14 00:00:00+00:00,,,23,4
2025-08-15 00:00:00+00:00,,,45,4
