time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-08 00:00:00+00:00,3,3,36,4
2026-01-09 00:00:00+00:00,1,1,4,2
2026-01-10 00:00:00+00:00,5,3,14,2
2026-01-11 00:00:00+00:00,7,4,3,3
2026-01-12 00:00:00+00:00,161,8,14,3
2026-01-13 00:00:00+00:00,2,1,13,1
2026-01-14 00:00:00+00:00,6,5,14,8
2026-01-15 00:00:00+00:00,51,7,8,5
2026-01-16 00:00:00+00:00,14,6,3,2
2026-01-17 00:00:00+00:00,0,0,2,2
2026-01-18 00:00:00+00:00,2,2,0,0
2026-01-19 00:00:00+00:00,2,2,2,1
2026-01-20 00:00:00+00:00,3,3,9,1
2026-01-21 00:00:00+00:00,88,12,8,2
