time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,6,4,34,6
2026-03-31 00:00:00+00:00,3,2,11,7
2026-04-01 00:00:00+00:00,19,7,19,7
2026-04-02 00:00:00+00:00,35,21,48,4
2026-04-03 00:00:00+00:00,29,7,41,3
2026-04-04 00:00:00+00:00,34,20,77,6
2026-04-05 00:00:00+00:00,7,6,48,7
2026-04-06 00:00:00+00:00,58,37,137,5
2026-04-07 00:00:00+00:00,1,1,5,4
2026-04-08 00:00:00+00:00,0,0,1,1
2026-04-09 00:00:00+00:00,0,0,8,2
2026-04-10 00:00:00+00:00,3,2,3,3
2026-04-11 00:00:00+00:00,1,1,0,0
2026-04-12 00:00:00+00:00,14,8,8,2
