time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,141,4,2,2
2026-01-25 00:00:00+00:00,1,1,0,0
2026-01-26 00:00:00+00:00,19,4,3,2
2026-01-27 00:00:00+00:00,18,4,5,4
2026-01-28 00:00:00+00:00,56,10,19,3
2026-01-29 00:00:00+00:00,3,3,8,2
2026-01-30 00:00:00+00:00,2,1,34,3
2026-01-31 00:00:00+00:00,2,1,3,2
2026-02-01 00:00:00+00:00,12,5,4,2
2026-02-02 00:00:00+00:00,11,3,0,0
2026-02-03 00:00:00+00:00,0,0,6,6
2026-02-04 00:00:00+00:00,3,2,10,3
2026-02-05 00:00:00+00:00,2,2,3,1
2026-02-06 00:00:00+00:00,0,0,0,0
