time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-17 00:00:00+00:00,4.0,1.0,5,3
2025-08-18 00:00:00+00:00,62.0,13.0,46,6
2025-08-19 00:00:00+00:00,33.0,5.0,35,3
2025-08-20 00:00:00+00:00,9.0,2.0,10,2
2025-08-21 00:00:00+00:00,6.0,2.0,8,2
2025-08-22 00:00:00+00:00,,,34,4
2025-08-23 00:00:00+00:00,6.0,2.0,7,3
2025-08-24 00:00:00+00:00,,,9,2
2025-08-25 00:00:00+00:00,,,17,4
2025-08-26 00:00:00+00:00,36.0,8.0,19,3
2025-08-27 00:00:00+00:00,19.0,7.0,34,5
2025-08-28 00:00:00+00:00,16.0,4.0,14,5
2025-08-29 00:00:00+00:00,,,6,4
2025-08-30 00:00:00+00:00,1.0,1.0,8,2
