time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,84,11,75,3
2026-03-27 00:00:00+00:00,14,9,76,5
2026-03-28 00:00:00+00:00,23,10,51,3
2026-03-29 00:00:00+00:00,64,11,10,4
2026-03-30 00:00:00+00:00,6,4,34,6
2026-03-31 00:00:00+00:00,3,2,11,7
2026-04-01 00:00:00+00:00,19,7,19,7
2026-04-02 00:00:00+00:00,35,21,48,4
2026-04-03 00:00:00+00:00,29,7,41,3
2026-04-04 00:00:00+00:00,34,20,77,6
2026-04-05 00:00:00+00:00,7,6,48,7
2026-04-06 00:00:00+00:00,58,37,137,5
2026-04-07 00:00:00+00:00,1,1,5,4
2026-04-08 00:00:00+00:00,0,0,1,1
