time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-01 00:00:00+00:00,3.0,2.0,4,2
2023-11-02 00:00:00+00:00,1.0,1.0,1,1
2023-11-03 00:00:00+00:00,2.0,2.0,15,3
2023-11-04 00:00:00+00:00,1.0,1.0,4,2
2023-11-05 00:00:00+00:00,2.0,2.0,10,3
2023-11-06 00:00:00+00:00,1.0,1.0,5,3
2023-11-07 00:00:00+00:00,1.0,1.0,19,2
2023-11-08 00:00:00+00:00,2.0,2.0,18,3
2023-11-09 00:00:00+00:00,,,6,2
2023-11-10 00:00:00+00:00,,,56,4
2023-11-11 00:00:00+00:00,,,5,2
2023-11-12 00:00:00+00:00,,,9,2
2023-11-13 00:00:00+00:00,1.0,1.0,52,3
2023-11-14 00:00:00+00:00,,,11,4
