time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,18.0,3.0,27,5
2025-06-07 00:00:00+00:00,1.0,1.0,6,1
2025-06-09 00:00:00+00:00,,,2,2
2025-06-10 00:00:00+00:00,43.0,7.0,7,4
2025-06-11 00:00:00+00:00,,,1,1
2025-06-12 00:00:00+00:00,7.0,3.0,5,4
2025-06-13 00:00:00+00:00,1.0,1.0,53,6
2025-06-14 00:00:00+00:00,,,10,3
2025-06-15 00:00:00+00:00,8.0,4.0,16,2
2025-06-16 00:00:00+00:00,7.0,1.0,49,4
2025-06-17 00:00:00+00:00,2.0,1.0,3,2
2025-06-18 00:00:00+00:00,21.0,9.0,30,2
2025-06-19 00:00:00+00:00,1.0,1.0,31,4
