time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,,,8,5
2025-11-03 00:00:00+00:00,7.0,2.0,25,6
2025-11-04 00:00:00+00:00,5.0,4.0,6,3
2025-11-05 00:00:00+00:00,21.0,2.0,16,5
2025-11-06 00:00:00+00:00,3.0,3.0,2,1
2025-11-07 00:00:00+00:00,12.0,4.0,7,4
2025-11-08 00:00:00+00:00,3.0,1.0,2,2
2025-11-09 00:00:00+00:00,1.0,1.0,4,1
2025-11-10 00:00:00+00:00,,,3,2
2025-11-11 00:00:00+00:00,14.0,2.0,5,3
2025-11-12 00:00:00+00:00,2.0,1.0,9,6
2025-11-13 00:00:00+00:00,3.0,1.0,2,2
2025-11-14 00:00:00+00:00,3.0,2.0,6,4
2025-11-15 00:00:00+00:00,2.0,1.0,4,3
