time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-26 00:00:00+00:00,1,1,3,3
2026-02-27 00:00:00+00:00,6,5,7,4
2026-02-28 00:00:00+00:00,5,3,26,5
2026-03-01 00:00:00+00:00,9,3,31,4
2026-03-02 00:00:00+00:00,7,7,6,1
2026-03-03 00:00:00+00:00,2,1,19,6
2026-03-04 00:00:00+00:00,1,1,5,1
2026-03-05 00:00:00+00:00,4,3,15,4
2026-03-06 00:00:00+00:00,3,2,4,3
2026-03-07 00:00:00+00:00,3,2,10,3
2026-03-08 00:00:00+00:00,4,3,5,1
2026-03-09 00:00:00+00:00,0,0,23,5
2026-03-10 00:00:00+00:00,4,3,21,5
2026-03-11 00:00:00+00:00,11,8,61,4
