time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-04 00:00:00+00:00,2.0,2.0,13,3
2025-09-05 00:00:00+00:00,1.0,1.0,6,2
2025-09-06 00:00:00+00:00,21.0,6.0,1,1
2025-09-08 00:00:00+00:00,1.0,1.0,3,1
2025-09-09 00:00:00+00:00,1.0,1.0,7,1
2025-09-10 00:00:00+00:00,1.0,1.0,34,5
2025-09-11 00:00:00+00:00,1.0,1.0,1,1
2025-09-12 00:00:00+00:00,,,2,2
2025-09-13 00:00:00+00:00,,,19,3
2025-09-14 00:00:00+00:00,18.0,2.0,6,3
2025-09-15 00:00:00+00:00,19.0,15.0,11,3
2025-09-16 00:00:00+00:00,7.0,6.0,15,3
2025-09-17 00:00:00+00:00,34.0,5.0,18,6
