time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-20 00:00:00+00:00,1.0,1.0,1,1
2025-04-22 00:00:00+00:00,1.0,1.0,61,5
2025-04-23 00:00:00+00:00,1.0,1.0,8,1
2025-04-24 00:00:00+00:00,,,2,1
2025-04-25 00:00:00+00:00,2.0,2.0,19,1
2025-04-27 00:00:00+00:00,11.0,8.0,8,6
2025-04-28 00:00:00+00:00,2.0,2.0,17,3
2025-04-29 00:00:00+00:00,22.0,4.0,8,1
2025-04-30 00:00:00+00:00,,,6,3
2025-05-01 00:00:00+00:00,119.0,3.0,67,14
2025-05-02 00:00:00+00:00,3.0,3.0,7,4
2025-05-03 00:00:00+00:00,,,1,1
