time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,24,10,2,2
2026-04-23 00:00:00+00:00,67,20,8,2
2026-04-24 00:00:00+00:00,25,13,1,1
2026-04-25 00:00:00+00:00,53,26,2,1
2026-04-26 00:00:00+00:00,35,14,8,1
2026-04-27 00:00:00+00:00,37,17,22,4
2026-04-28 00:00:00+00:00,1,1,4,3
2026-04-29 00:00:00+00:00,1,1,1,1
2026-04-30 00:00:00+00:00,4,1,10,4
2026-05-01 00:00:00+00:00,21,6,9,8
2026-05-02 00:00:00+00:00,25,7,7,7
2026-05-03 00:00:00+00:00,12,4,9,9
2026-05-04 00:00:00+00:00,0,0,5,2
2026-05-05 00:00:00+00:00,1,1,1,1
