time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,,,129,2
2024-09-02 00:00:00+00:00,,,21,2
2024-09-03 00:00:00+00:00,,,91,4
2024-09-04 00:00:00+00:00,4.0,1.0,39,4
2024-09-05 00:00:00+00:00,,,2,1
2024-09-06 00:00:00+00:00,,,58,1
2024-09-07 00:00:00+00:00,,,1,1
2024-09-08 00:00:00+00:00,1.0,1.0,6,2
2024-09-09 00:00:00+00:00,,,4,2
2024-09-10 00:00:00+00:00,,,6,1
2024-09-11 00:00:00+00:00,1.0,1.0,1,1
2024-09-12 00:00:00+00:00,,,1,1
2024-09-13 00:00:00+00:00,,,21,3
