time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-20 00:00:00+00:00,1.0,1.0,44,4
2025-05-21 00:00:00+00:00,25.0,4.0,37,6
2025-05-22 00:00:00+00:00,18.0,5.0,1,1
2025-05-23 00:00:00+00:00,18.0,5.0,39,6
2025-05-24 00:00:00+00:00,,,6,1
2025-05-25 00:00:00+00:00,5.0,1.0,4,2
2025-05-26 00:00:00+00:00,10.0,2.0,19,5
2025-05-27 00:00:00+00:00,12.0,3.0,22,3
2025-05-28 00:00:00+00:00,,,10,1
2025-05-29 00:00:00+00:00,5.0,1.0,5,2
2025-05-30 00:00:00+00:00,3.0,2.0,74,5
2025-05-31 00:00:00+00:00,26.0,6.0,54,5
2025-06-01 00:00:00+00:00,17.0,3.0,13,2
2025-06-02 00:00:00+00:00,30.0,7.0,32,5
2025-06-03 00:00:00+00:00,,,1,1
