time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-23 00:00:00+00:00,5.0,1.0,38,5
2025-07-24 00:00:00+00:00,7.0,3.0,3,2
2025-07-25 00:00:00+00:00,6.0,6.0,17,3
2025-07-26 00:00:00+00:00,,,4,2
2025-07-27 00:00:00+00:00,11.0,2.0,26,3
2025-07-28 00:00:00+00:00,2.0,1.0,17,4
2025-07-29 00:00:00+00:00,5.0,1.0,2,1
2025-07-30 00:00:00+00:00,4.0,2.0,9,4
2025-07-31 00:00:00+00:00,20.0,4.0,7,2
2025-08-01 00:00:00+00:00,13.0,5.0,1,1
2025-08-02 00:00:00+00:00,,,2,2
2025-08-03 00:00:00+00:00,3.0,2.0,26,5
2025-08-04 00:00:00+00:00,13.0,5.0,3,2
2025-08-05 00:00:00+00:00,26.0,5.0,2,1
