time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-27 00:00:00+00:00,12.0,3.0,21,2
2025-05-28 00:00:00+00:00,,,10,1
2025-05-29 00:00:00+00:00,5.0,1.0,5,2
2025-05-30 00:00:00+00:00,3.0,2.0,74,5
2025-05-31 00:00:00+00:00,26.0,6.0,54,5
2025-06-01 00:00:00+00:00,17.0,3.0,13,2
2025-06-02 00:00:00+00:00,30.0,7.0,32,5
2025-06-03 00:00:00+00:00,19.0,5.0,50,10
2025-06-04 00:00:00+00:00,,,17,4
2025-06-05 00:00:00+00:00,45.0,7.0,3,1
2025-06-06 00:00:00+00:00,18.0,3.0,27,5
2025-06-07 00:00:00+00:00,1.0,1.0,6,1
2025-06-09 00:00:00+00:00,,,2,2
