time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,15,3,,
2025-10-15 00:00:00+00:00,41,1,4.0,2.0
2025-10-16 00:00:00+00:00,26,3,42.0,3.0
2025-10-17 00:00:00+00:00,1002,3,10.0,3.0
2025-10-18 00:00:00+00:00,52,2,2.0,1.0
2025-10-19 00:00:00+00:00,1,1,15.0,3.0
2025-10-20 00:00:00+00:00,2,1,25.0,6.0
2025-10-21 00:00:00+00:00,2,2,26.0,3.0
2025-10-22 00:00:00+00:00,7,4,7.0,3.0
2025-10-23 00:00:00+00:00,1,1,23.0,3.0
2025-10-24 00:00:00+00:00,4,4,14.0,5.0
2025-10-25 00:00:00+00:00,16,4,20.0,3.0
2025-10-26 00:00:00+00:00,4,2,60.0,3.0
2025-10-27 00:00:00+00:00,2,2,12.0,2.0
