time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,0,0,1,1
2026-06-09 00:00:00+00:00,22,11,15,2
2026-06-10 00:00:00+00:00,3,3,0,0
2026-06-11 00:00:00+00:00,0,0,29,3
2026-06-12 00:00:00+00:00,23,11,29,3
2026-06-13 00:00:00+00:00,1,1,17,4
2026-06-14 00:00:00+00:00,16,4,7,3
2026-06-15 00:00:00+00:00,44,12,11,2
2026-06-16 00:00:00+00:00,14,7,1,1
2026-06-17 00:00:00+00:00,1,1,14,3
2026-06-18 00:00:00+00:00,6,2,5,1
2026-06-19 00:00:00+00:00,0,0,6,2
2026-06-20 00:00:00+00:00,1,1,27,2
2026-06-21 00:00:00+00:00,1,1,1,1
