time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-09 00:00:00+00:00,,,4,2
2024-09-10 00:00:00+00:00,,,6,1
2024-09-11 00:00:00+00:00,1.0,1.0,1,1
2024-09-12 00:00:00+00:00,,,1,1
2024-09-13 00:00:00+00:00,,,21,3
2024-09-14 00:00:00+00:00,,,12,2
2024-09-15 00:00:00+00:00,,,3,1
2024-09-16 00:00:00+00:00,,,150,3
2024-09-17 00:00:00+00:00,2.0,1.0,8,1
2024-09-18 00:00:00+00:00,,,17,1
2024-09-19 00:00:00+00:00,,,50,3
2024-09-20 00:00:00+00:00,,,140,3
2024-09-22 00:00:00+00:00,,,23,1
