referrer,views_total,views_unique
Google,15,5
statics.teams.cdn.office.net,12,3
zenodo.org,12,1
dhschall.github.io,10,2
chatgpt.com,2,2
Bing,2,2
github.com,1,1
search.brave.com,1,1
ease-lab.github.io,1,1
