time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-28 00:00:00+00:00,2,2,9,5
2025-12-29 00:00:00+00:00,2,2,40,5
2025-12-30 00:00:00+00:00,3,3,8,5
2025-12-31 00:00:00+00:00,2,2,11,3
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
2026-01-03 00:00:00+00:00,0,0,4,2
2026-01-04 00:00:00+00:00,0,0,15,4
2026-01-05 00:00:00+00:00,0,0,4,3
2026-01-06 00:00:00+00:00,1,1,6,2
2026-01-07 00:00:00+00:00,0,0,4,3
2026-01-08 00:00:00+00:00,0,0,3,2
2026-01-09 00:00:00+00:00,0,0,6,4
2026-01-10 00:00:00+00:00,0,0,11,3
