time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-12 00:00:00+00:00,0,0,9,3
2024-11-13 00:00:00+00:00,0,0,7,4
2024-11-14 00:00:00+00:00,0,0,19,5
2024-11-15 00:00:00+00:00,0,0,16,5
2024-11-16 00:00:00+00:00,1,1,14,2
2024-11-18 00:00:00+00:00,0,0,8,7
2024-11-19 00:00:00+00:00,0,0,2,1
2024-11-20 00:00:00+00:00,1,1,3,2
2024-11-21 00:00:00+00:00,0,0,10,4
2024-11-22 00:00:00+00:00,0,0,6,5
2024-11-23 00:00:00+00:00,0,0,9,2
2024-11-24 00:00:00+00:00,0,0,3,2
2024-11-25 00:00:00+00:00,0,0,22,7
2024-11-26 00:00:00+00:00,0,0,9,7
2024-11-27 00:00:00+00:00,0,0,18,8
2024-11-28 00:00:00+00:00,0,0,3,2
2024-11-29 00:00:00+00:00,0,0,7,4
2024-11-30 00:00:00+00:00,0,0,2,2
2024-12-01 00:00:00+00:00,0,0,14,3
2024-12-02 00:00:00+00:00,0,0,5,4
2024-12-03 00:00:00+00:00,0,0,2,1
2024-12-04 00:00:00+00:00,0,0,1,1
2024-12-05 00:00:00+00:00,1,1,13,5
2024-12-06 00:00:00+00:00,1,1,19,5
2024-12-07 00:00:00+00:00,0,0,2,2
2024-12-08 00:00:00+00:00,1,1,3,3
2024-12-09 00:00:00+00:00,0,0,5,3
2024-12-10 00:00:00+00:00,1,1,30,9
2024-12-11 00:00:00+00:00,1,1,12,2
2024-12-12 00:00:00+00:00,0,0,4,3
2024-12-13 00:00:00+00:00,0,0,3,3
2024-12-14 00:00:00+00:00,0,0,2,1
2024-12-16 00:00:00+00:00,1,1,5,3
2024-12-17 00:00:00+00:00,1,1,9,1
2024-12-18 00:00:00+00:00,0,0,12,2
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,0,0,4,1
2024-12-23 00:00:00+00:00,0,0,6,1
2024-12-24 00:00:00+00:00,0,0,1,1
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,8,3
2024-12-27 00:00:00+00:00,2,2,16,8
2024-12-28 00:00:00+00:00,0,0,5,3
2024-12-29 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,2,2
2024-12-31 00:00:00+00:00,0,0,8,4
2025-01-02 00:00:00+00:00,1,1,16,4
2025-01-03 00:00:00+00:00,0,0,22,3
2025-01-04 00:00:00+00:00,0,0,13,1
2025-01-05 00:00:00+00:00,0,0,18,2
2025-01-06 00:00:00+00:00,1,1,25,6
2025-01-07 00:00:00+00:00,1,1,13,1
2025-01-09 00:00:00+00:00,1,1,3,3
2025-01-10 00:00:00+00:00,0,0,21,4
2025-01-11 00:00:00+00:00,0,0,8,2
2025-01-12 00:00:00+00:00,1,1,2,2
