time_iso8601,forks_cumulative
2024-12-17 00:00:00+00:00,1
2024-12-27 00:00:00+00:00,3
2024-12-31 00:00:00+00:00,4
2025-04-18 00:00:00+00:00,5
2025-07-13 00:00:00+00:00,6
